myavailability_id,pharmacy_id,availability_id
1,1,1
2,1,4
3,1,7
4,1,10
5,1,14
6,1,20
7,1,22
8,1,23
9,1,29
10,1,30
11,2,1
12,2,4
13,2,7
14,2,8
15,2,9
16,2,15
17,2,16
18,2,19
19,2,31
20,2,32
21,3,1
22,3,3
23,3,6
24,3,17
25,3,19
26,3,23
27,3,25
28,3,29
29,3,30
30,3,31
31,4,4
32,4,5
33,4,6
34,4,13
35,4,14
36,4,18
37,4,22
38,4,16
39,4,27
40,4,29
41,5,1
42,5,3
43,5,5
44,5,14
45,5,17
46,5,18
47,5,23
48,5,24
49,5,29
50,5,30
51,6,1
52,6,3
53,6,4
54,6,15
55,6,16
56,6,20
57,6,26
58,6,28
59,6,30
60,6,31
61,7,1
62,7,6
63,7,7
64,7,10
65,7,11
66,7,16
67,7,17
68,7,19
69,7,20
70,7,26
71,8,2
72,8,4
73,8,5
74,8,6
75,8,20
76,8,23
77,8,26
78,8,28
79,8,30
80,8,32
